Artist ID,Name,Nationality,Gender,Birth Year,Death Year
1,Robert Arneson,American,Male,1930,1992
2,Doroteo Arnaiz,Spanish,Male,1936,
3,Bill Arnold,American,Male,1941,
4,Charles Arnoldi,American,Male,1946,
5,Per Arnoldi,Danish,Male,1941,
6,Danilo Aroldi,Italian,Male,1925,
7,Bill Aron,American,Male,1941,
8,David Aronson,American,Male,1923,
9,Irene Aronson,American,Female,1918,
10,Jean (Hans) Arp,French,Male,1886,1966
11,Jüri Arrak,Estonian,Male,1936,
12,J. Arrelano Fischer,Mexican,Male,1911,1995
13,Folke Arstrom,Swedish,Male,1907,1997
14,Cristobal Arteche,Spanish,Male,1900,1964
15,Artko,,,,
16,Richard Artschwager,American,Male,1923,2013
17,Ruth Asawa,American,Female,1926,2013
18,Isidora Aschheim,Israeli,Female,,
19,Charles Robert Ashbee,British,Male,1863,1942
20,Donald Ashcraft,American,Male,1927,
21,E. M. Ashe,American,Male,1867,1941
22,Göran Åslin,Swedish,,1940,
23,Erik Gunnar Asplund,Swedish,Male,1885,1940
24,Geneviève Asse,French,Female,1923,
25,Sergio Asti,Italian,Male,1926,
26,Dana Atchley,American,Female,1941,2000
27,Atelier Eggers,French,,,
28,A.A.P.,American,,,
29,Alvar Aalto,Finnish,Male,1898,1976
30,Aino Aalto,Finnish,Female,1894,1949
31,Eero Aarnio,Finnish,Male,1932,
32,Jules Aarons,American,Male,1921,2008
33,Magdalena Abakanowicz,Polish,Female,1930,
34,James Abbe,American,Male,1883,1973
35,Jussuff Abbo,British,Male,1888,1953
36,Berenice Abbott,American,Female,1898,1991
37,Nobuya Abe,Japanese,Male,1913,1971
38,Abe Shiro (pen Name: Suichiku),Japanese,Male,1900,
39,Robert Abel,American,Male,1937,
40,Sigmund Abeles,American,Male,1934,
41,Raimund Abraham,American,Male,1933,2010
42,Ivor Abrahams,British,Male,1935,
43,Gerald Abramovitz,British,Male,1928,2011
44,William Ross Abrams,American,Male,1920,2007
45,Rodolfo Abularach,Guatemalan,Male,1933,
46,Vito Acconci,American,Male,1940,
47,Milton Ackoff,American,Male,1915,
48,Norman Ackroyd,British,Male,,
49,Luis Alberto Acuña,Colombian,Male,1904,1994
50,Henri Georges Adam,French,Male,1904,1967
51,Antoine Samuel Adam-Salomon,French,Male,1818,1881
52,Valerio Adami,Italian,Male,1935,
53,Ansel Adams,American,Male,1902,1984
54,Alice Adams,American,Female,1930,
55,Clinton Adams,American,Male,1918,2002
56,Dacres Adams,British,Male,1864,1951
57,Dennis Adams,American,Male,1948,
58,Kenneth M. Adams,American,Male,1897,1966
59,Robert Adams,American,Male,1937,
60,Shelby Lee Adams,American,Female,1950,
61,Charles Addams,American,Male,1912,1988
62,Allan Adler,American,Male,1916,2002
63,Jankel Adler,Polish,Male,1895,1949
64,Virginia Admiral,American,Female,1915,2000
65,Pic Adrian,Romanian,Male,1910,
66,Roy Adzak,British,Male,1927,1987
67,Nicholas Africano,American,Male,1948,
68,Afro (Afro Basaldella),Italian,Male,1912,1976
69,Aftograf,Russian,,,
70,Agam (Yaacov Agam),Israeli,Male,1928,
71,Mehemed Fehmy Agha,American,Male,1896,1978
72,Kathleen Agnoli,American,Female,1945,
73,Peter Agostini,American,Male,1913,1993
74,Olympe Aguado de las Marismas,French,Male,1827,1894
75,Dongkuk S. Ahn,American,Male,1937,2013
76,Aarne Aho,Finnish,Male,1904,1978
77,Otl Aicher (also known as Otto Aicher),German,Male,1922,1991
78,Lucien Aigner,American,Male,1901,1999
79,Gregory Ain,American,Male,1908,1988
80,Edgar Ainsworth,British,Male,1906,1975
81,Roberto Aizenberg,Argentine,Male,1928,1996
82,Kinji Akagawa,Japanese,Male,1940,
83,Ryoji Akiyama,Japanese,Male,1942,
84,Munira Al-Kazi,Kuwaiti,Female,1939,
85,Alastair (Hans H. Voight),German,Male,1887,1969
86,Anni Albers,American,Female,1899,1994
87,Josef Albers,American,Male,1888,1976
88,Beatrice Albert,American,Female,,
89,Joan Albert,American,Female,1943,2012
90,Ivan Le Lorraine Albright,American,Male,1897,1983
91,Album-miscellaneous,Various,,,
92,Albert Alcalay,American,Male,1917,2008
93,L. (Alfred Lewin Copley) Alcopley,American,Male,1910,1992
94,A. Alcorn,American,,,
95,Alan Aldridge,British,Male,1943,
96,Pierre Alechinsky,Belgian,Male,1927,
97,Peter Alexander,American,Male,1939,
98,Carlo Alfano,Italian,Male,,
99,José R. Alicea,American,Male,1928,
100,Leopoldo and Guiseppe Alinari,Italian,,,
101,James Alinder,American,Male,1941,
102,Yves Alix,French,Male,1890,1969
103,Wobbe Alkema,Dutch,Male,1900,1984
104,William Allan,American,Male,1936,
105,Alexander Alland,American,Male,1902,1989
106,Harry Allen,American,Male,1964,
107,Terry Allen,American,Male,1943,
108,Adrian Allinson,British,Male,1890,1959
109,Carlos Alonso,Argentine,Male,1929,
110,Glen Alps,American,Male,1914,1996
111,Henry Altchek,American,Male,1943,
112,Gerhard Altenbourg,German,Male,1926,1989
113,Hobie Alter,American,Male,1933,
114,Harold Altman,American,Male,1924,2003
115,Giacchino Altobelli,Italian,Male,1814,
116,John Altoon,American,Male,1925,1969
117,Manuel Álvarez Bravo,Mexican,Male,1902,2002
118,Dag Alveng,Norwegian,Male,1953,
119,Getulio Alviani,Italian,Male,1939,
120,Edmond-François Aman Jean,French,Male,1858,1936
121,Kunihiro Amano,Japanese,Male,,
