Title,Date,Medium,Artist ID
"Church of the Three Crosses, Vuoksenniska, Imatra, Finland",1955.0,"Plastic, cardboard, and synthetic polymer paint",34.0
"Viipuri City Library, Viipuri, Finland (now Vyborg, Russia)",1927.0,"Plastic, wood, plywood, paper, and paint",34.0
"Town Center, Avesta, Sweden",1944.0,Wood,34.0
"Town Center, Seinajoki, Finland",1958.0,Wood,34.0
"Center for Applied Computer Research, Mexico City, Mexico",1975.0,"Painted wood, plastic, and cotton",141.0
"Casa de Retiro Espiritual, Córdoba, Spain",1976.0,Plastic,141.0
Timer (model 152),1960.0,ABS polymer,659.0
Serving Bowl,1963.0,Plastic,817.0
Sound-Level Indicator (model SL-120),1978.0,Plastic casing,177.0
Folle 26 Stapler,1977.0,"Stainless steel, hardened steel, and iron",177.0
Cab Armchair,1978.0,Tubular steel and leather,451.0
Teapot,1901.0,Pewter,438.0
Table Clock,1930.0,Painted and chrome-plated metal,741.0
Stool (model B37),1932.0,Chrome-plated tubular steel and Eisengarn fabric,769.0
Dot Dash Dot sheer fabric,1952.0,Batiste,399.0
Coffee Table,1946.0,Birch and glass,34.0
Fan (model GB1),1908.0,Painted cast iron and brass,438.0
Totem Stereo System with Detachable Speakers (model RR 130),1970.0,Lacquered wood,451.0
Primitive Forms,1950.0,Printed linen,309.0
Lotion Bottle,1938.0,Glass,525.0
Dish,,Glass,34.0
Charm Tumblers,1939.0,Crystal,495.0
Charm Tumblers,1942.0,Handblown crystal,495.0
Stacking Stools (model 60),1932.0,Birch,34.0
Side Chairs,1936.0,".1: Walnut and birch plywood 
.2: Birch plywood
",769.0
Automatic Coin Sorting Bank,1965.0,Plastic and chrome plated steel,805.0
Child's side chair (model B33 1/2),1929.0,Tubular steel and canvas,769.0
Drapery Material Sample,1945.0,Cotton and metallic foil,96.0
Cleaver,1944.0,Plated steel and plastic,772.0
Drapery Material,1948.0,Cotton and metallic thread,96.0
Lazy Susan (Revolving Serving Tray),1946.0,"Glass, plastic, wood, and ball-bearing assembly",931.0
Drapery Material,1942.0,"Lurex, cellophane, and cotton chenille",96.0
Display Material Sample,1949.0,"Cotton, silk, lurex, and metallic foil",96.0
Drapery Material,1935.0,"Cellophane, rayon, and cotton",96.0
Drapery Material,1961.0,Jute and metallic thread,96.0
"Lighting Fixture for the Finnish Pavilion, New York World's Fair",1938.0,Painted steel,34.0
Portable Solar Lantern (model SL 48),1985.0,"Polycarbonate, silicon, and stainless steel",436.0
Forte Rosso Bench,1985.0,Sandstone,451.0
Salad Serving Set,1967.0,Stainless steel,238.0
Electric Kettle,1909.0,Nickel-plated brass and rattan,438.0
Mindset Personal Computer,1983.0,Injection-molded ABS polymer casing,830.0
Tea Glass with Saucer and Stirrer,1925.0,"Heat-resistant glass, chrome-plated steel, ebony, and porcelain",97.0
Link Bench (model 656),1961.0,Chrome-plated steel and leather,440.0
Flatware,1979.0,ABS polymer and stainless steel,160.0
Armchair,1922.0,Stained oak and hand-woven wool,769.0
Coffee Table,1928.0,Ash and glass,97.0
Teapot,1924.0,Nickel silver and ebony,741.0
Fruit Bowl,1929.0,Chrome-plated brass,741.0
Ceiling Lamp,1925.0,Spun aluminum and milk glass shade,741.0
Dish,1947.0,Chrome-plated metal,418.0
Fruit Bowl,1924.0,"Silver-plated metal, glass, and wood",97.0
Ceiling Fixture,1925.0,Chrome-plated metal and milkglass,387.0
Tablecloth,1923.0,Cotton,387.0
Gyro Chair,1968.0,Fiberglass,36.0
Clothes Hooks,1971.0,ABS polymer,639.0
Convertible Sofa,1930.0,"Chrome-plated steel frame, wool upholstery, and painted wood arms",34.0
Stool (model X600),1954.0,Birch and leather,34.0
Flashlights,1983.0,ABS plastic,141.0
Chaise Longue,1938.0,Molded and cutout plywood and upholstery,769.0
Carafes,1986.0,Silver,696.0
Salt and Pepper Shakers,1949.0,Handwrought sterling silver,69.0
Southern Harvest Dinner Plate,1946.0,Glazed pottery,98.0
Nesting Tables (model B9),1925.0,Chrome-plated tubular steel and lacquered plywood,769.0
Electric Wall Plugs,1956.0,Hardrubber heads,559.0
Lighting Fixtures,1994.0,Ceramic and steel,119.0
Bauhaus Lettering Set (Kombinations-Schrift),1926.0,Milk glass and painted wood,97.0
Veneer Saw (model 314),1950.0,Steel and laminated wood,270.0
Tea Trolley (model 98),1936.0,"Linoleum top, natural birch frame, and lacquered wheels with rubber tread",34.0
Wall Hanging,1956.0,"Velon plastic thread, dried grasses, and reeds",423.0
Cesca Armchair (model B64),1928.0,"Bent chromed tubular steel, wood, and cane",769.0
Bowl,1974.0,Glazed porcelain,880.0
Club chair (model B3),1927.0,Chrome-plated tubular steel and canvas,769.0
Brigade Firefighter Helmet,1984.0,"Fiberglass-composite shell, plastic, and rubber",315.0
Double Helix Knife,1985.0,Stainless steel,478.0
Ashtray,1964.0,Glass,30.0
Italicus Paper Shears (model 3/Neto),1962.0,Steel,941.0
Fazzoletto Vase,1949.0,Glass,547.0
Wall Hanging (Woven in 1964 under Albers' supervision from the original design),1927.0,Cotton and silk,96.0
Floor Lamp,1955.0,Chrome-plated steel and enameled steel,594.0
